,BuildingID,ViolationID
8726,197917,127
41268,66514,127
2983,120378,127
2316,116928,127
47256,808283,127
8486,194080,127
11997,230367,127
2736,119048,127
12411,234898,127
34303,495276,127
15311,282041,127
28473,395492,127
42341,68193,127
24895,363183,127
9584,208652,127
6636,166440,127
5270,145872,127
39062,62720,126
39847,64090,126
28040,388441,126
31915,43669,126
874,107125,126
38018,59194,126
30142,41993,126
41247,66460,126
48651,81860,126
22934,348093,126
9545,208310,126
19467,320141,126
28443,395060,126
54137,94358,125
41513,66846,125
19706,322222,125
22243,344295,125
9072,203829,125
50542,87412,125
47425,808943,125
34089,491277,125
12657,239071,125
37248,56845,125
24259,3581,125
28089,388951,125
14444,27009,124
21354,3370,124
38664,60947,124
13440,251294,124
175,10056,124
5675,150942,124
48074,811253,124
2104,116091,124
5984,156489,124
21447,337899,124
20232,327065,124
55833,97386,124
2769,119107,124
22544,346496,124
36990,5617,124
38739,61065,124
39274,630380,124
16003,287672,124
20498,329146,123
34770,50700,123
26695,37668,123
25270,366397,123
45108,77260,123
11459,22529,123
2256,116778,123
19393,31891,123
1211,109423,123
19780,323187,123
41454,66793,123
1886,114412,123
38641,6089,123
30257,42113,123
3060,120635,123
11444,225235,122
10902,219891,122
26167,373988,122
20775,332221,122
5935,155392,122
37184,56762,122
38611,60825,122
24859,362955,122
39409,63262,122
18405,309620,122
48537,81719,122
15502,283283,122
27899,386800,122
45981,8015,122
55990,97568,121
51822,896120,121
48754,81990,121
33159,465247,121
36708,55431,121
33229,46677,121
39121,62827,121
26380,375070,121
11044,220825,121
24930,363333,121
29491,41095,121
33784,48307,121
20147,326545,121
29537,411704,121
40873,65965,121
467,103018,121
14454,270200,120
22821,347649,120
45019,769127,120
26599,376260,120
22867,347772,120
40207,648495,120
13265,24835,120
55619,970754,120
45354,78265,120
30246,42102,120
29259,40689,120
53614,934917,120
37586,57762,120
24028,356822,119
42392,683004,119
52218,9035,119
51303,88744,119
52437,90956,119
1741,112750,119
6384,162820,119
48659,81865,119
46075,804021,119
26630,376410,119
44624,74535,119
44638,746078,119
3107,120834,118
31813,43568,118
3297,122083,118
48446,81593,118
28829,398056,118
44431,73812,118
59,100180,118
32509,448784,118
47444,808964,118
30612,42449,118
15950,287552,118
5841,153718,118
36196,5389,118
1904,114449,118
19497,320626,117
32696,45460,117
15947,287549,117
13387,250398,117
2924,119863,117
31677,43404,117
2049,115654,117
19961,324893,117
30519,42320,117
45953,80077,117
30132,4197,117
2290,116845,117
27370,381668,117
2334,116949,116
45966,80099,116
14805,27590,116
14302,268599,116
19523,320847,116
15922,287456,116
48489,81677,116
1611,111950,116
1022,108415,116
22695,347220,116
10763,218950,116
29598,413,116
42768,689582,115
56092,97698,115
40657,65644,115
37990,59157,115
42818,68985,115
29906,41684,115
21207,335805,115
28197,390623,115
19872,324042,115
28530,396050,115
13337,249560,115
17494,302248,115
15268,28172,115
38670,60953,115
15709,284576,114
41087,66269,114
33948,488091,114
52879,92360,114
24931,363337,114
22872,347778,114
16381,29045,114
40780,65812,114
38914,6197,114
40161,64738,114
53189,929106,114
42974,69315,113
29295,40740,113
9238,20563,113
31455,43215,113
52507,910931,113
47352,808637,113
16928,296847,113
15065,27963,113
24951,363506,113
