,BORO,bbl,price_per_blgd,TOTAL INCOME FROM REAL ESTATE,TOTAL EXPENSES,cap rate
72,2,2032840057,4125000,481436.0,252763.0,0.05543587878787879
74,2,2033190014,3500000,235518.0,164328.0,0.02034
75,2,2037380001,7100000,810290.0,392924.0,0.05878394366197183
76,2,2037380010,7900000,960347.0,398078.0,0.07117329113924051
77,2,2038120001,3960000,434518.0,244179.0,0.04806540404040404
78,2,2039840001,11250000,1242416.0,788214.0,0.040373511111111114
79,2,2046540001,5200000,606628.0,439560.0,0.032128461538461536
80,2,2049940041,5050000,439558.0,323191.0,0.023042970297029702
81,3,3007090058,9000000,912786.0,150049.0,0.08474855555555555
82,3,3007480057,3500000,257008.0,85080.0,0.049122285714285716
83,3,3009510046,3000000,238902.0,52680.0,0.062074
84,3,3011050063,4200000,246658.0,74120.0,0.04108047619047619
85,3,3012060028,5585336,636192.0,323002.0,0.056073618489559086
86,3,3012190056,4330000,393020.0,172158.0,0.051007390300230944
87,3,3012280060,12725000,1179497.0,694900.0,0.038082278978389
88,3,3013140050,6100000,521952.0,218069.0,0.04981688524590164
89,3,3014830003,30600000,1383250.0,472343.0,0.029768202614379086
90,3,3016760001,4451128,1933521.0,1335090.0,0.13444479691440012
91,3,3018580024,4772727,1532590.0,1206664.0,0.06828926104510064
92,3,3019690022,46300000,2627041.0,918680.0,0.03689764578833693
