BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Gov't Rent Subsidies Income,TOTAL INCOME FROM REAL ESTATE,TOTAL EXPENSES
4051370102,"$6,077,037",$0,"$6,077,037","$452,203",$0,"$7,506","$6,692,734","$3,003,900"
4156380001,"$6,031,788",$0,"$6,031,788",$0,"$811,621","$1,932,075","$9,031,564","$5,851,125"
1007011001,"$6,019,624",$0,"$6,019,624",$0,"$17,176",$0,"$6,116,917","$1,334,448"
1012200029,"$6,013,871",$0,"$6,013,871",$0,"$2,453,549","$1,428,090","$10,670,617","$3,030,062"
3021860001,"$5,997,798",$0,"$5,997,798",$0,"$367,823","$4,107,350","$10,698,116","$8,850,602"
1010640036,"$5,916,005",$0,"$5,916,005",$0,"$2,146,212",$0,"$8,297,115","$2,699,237"
3025220016,"$5,732,578",$0,"$5,732,578",$0,"$96,000",$0,"$6,228,563","$2,136,995"
1017300025,"$5,628,404","$11,893","$5,640,297","$98,089",$0,$0,"$6,033,571","$2,519,624"
1017300009,"$5,537,440","$24,109","$5,561,549","$62,357",$0,$0,"$5,897,889","$2,486,457"
3020611003,"$5,473,676",$0,"$5,473,676",$0,"$18,000",$0,"$5,501,122","$1,150,606"
4004220001,"$5,221,568",$0,"$5,221,568",$0,$0,$0,"$5,358,705","$2,467,360"
3001541001,"$5,184,867",$0,"$5,184,867",$0,"$7,534",$0,"$5,223,413","$1,567,182"
3001541001,"$5,184,867",$0,"$5,184,867",$0,"$7,534",$0,"$5,223,413","$1,567,182"
3036790001,"$5,149,203",$0,"$5,149,203",$0,$0,$0,"$6,751,411","$333,520"
1012370033,"$5,124,915",$0,"$5,124,915","$248,707","$503,925",$0,"$5,980,421","$2,734,742"
4019370001,"$5,120,845",$0,"$5,120,845",$0,$0,$0,"$5,558,071","$2,385,068"
4021170001,"$5,102,077","$210,623","$5,312,700","$97,973",$0,"$284,436","$6,017,178","$5,163,550"
1014880001,"$5,070,660","$36,836,088","$41,906,748","$518,676","$163,472",$0,"$45,464,179","$21,921,238"
