BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Units,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1,Total Expenses 
3011760005,"$278,847",$0,"$278,847",$0,0,$0,$0,"$1,570","$280,417",$0,"$116,275"
1014320034,"$278,794",$0,"$278,794",$0,0,$0,$0,$0,"$278,794",$0,"$89,265"
1004060004,"$278,780",$0,"$278,780",$0,0,$0,$0,$0,"$278,780",$0,"$113,148"
2033160026,"$278,776",$0,"$278,776",$0,0,$0,$0,$958,"$279,734","$16,109","$201,560"
2028880028,"$278,716",$0,"$278,716",$0,0,$0,$0,$0,"$278,716",$0,"$247,885"
1014160021,"$278,489",$0,"$278,489",$0,0,"$179,217",$0,$0,"$478,166",$0,"$120,636"
3013610076,"$278,478",$0,"$278,478",$0,0,$0,$0,$0,"$278,478",$0,"$193,772"
1021190005,"$278,420",$0,"$278,420",$0,0,"$129,600",$0,$0,"$408,020","$1,800","$187,875"
2033060018,"$278,419",$0,"$278,419","$26,950",0,$0,$0,$0,"$305,369",$0,"$141,799"
1012360032,"$278,410",$0,"$278,410",$0,0,"$119,865",$0,$0,"$413,299",$700,"$113,911"
1021290024,"$278,396",$0,"$278,396",$0,0,$0,$0,$0,"$278,396",$0,"$270,229"
1015800015,"$278,312",$0,"$278,312",$0,0,$0,$0,$0,"$278,312","$4,572","$137,173"
1010780111,"$278,305",$0,"$278,305",$0,0,$0,$0,$0,"$278,305","$23,436","$186,462"
3050420056,"$278,189",$0,"$278,189",$0,0,$0,$0,"$23,994","$302,183",$0,"$188,071"
2024660040,"$278,130",$0,"$278,130",$0,0,$0,$0,$0,"$278,130",$0,"$257,432"
1000160015,"$278,089","$5,204,999","$5,483,088",$0,0,$0,$0,$0,"$5,877,657","$231,868","$2,341,114"
2031990053,"$278,040",$0,"$278,040",$0,0,$0,$0,$0,"$278,040",$0,"$211,128"
1015350015,"$277,531",$0,"$277,531",$0,0,$0,$0,$0,"$277,531",$0,"$119,690"
3062380039,"$277,515",$0,"$277,515",$0,0,$0,$0,$0,"$277,515",$0,"$169,949"
3024500022,"$277,427",$0,"$277,427",$0,0,$0,$0,$0,"$277,427",$0,"$326,623"
2033080040,"$277,359",$0,"$277,359",$0,0,$0,$0,"$2,240","$279,609",$0,"$169,276"
3050720017,"$277,348",$0,"$277,348",$0,0,$0,$0,$0,"$277,348",$0,"$163,602"
1002140006,"$277,293",$0,"$277,293",$0,0,"$208,999",$0,$0,"$509,846","$4,537","$140,153"
1006120017,"$277,289",$0,"$277,289",$0,0,$0,$0,$0,"$277,289",$0,"$64,921"
3052480022,"$277,217",$0,"$277,217",$0,0,$0,$0,$0,"$277,217",$0,"$233,944"
1015780025,"$277,180",$0,"$277,180",$0,0,$0,$0,$0,"$279,620",$0,"$141,026"
3009760054,"$277,161",$0,"$277,161",$0,0,$0,$0,$0,"$277,161",$0,"$86,589"
1007640067,"$277,125",$0,"$277,125",$0,0,$0,$0,$0,"$277,125",$0,"$99,695"
1004500042,"$277,030",$0,"$277,030",$0,0,"$57,225",$0,$0,"$334,255",$0,"$119,628"
3012270025,"$276,995",$0,"$276,995",$0,0,$0,$0,$0,"$276,995",$0,"$197,316"
1021330046,"$276,985",$0,"$276,985",$0,0,$0,$0,$0,"$276,985",$0,"$192,193"
2028770424,"$276,984",$0,"$276,984",$0,0,$0,$0,$0,"$276,984",$0,"$158,715"
2028770431,"$276,984",$0,"$276,984",$0,0,$0,$0,$0,"$276,984",$0,"$158,715"
1009240052,"$276,895",$0,"$276,895",$0,0,$0,$0,$709,"$277,604",$263,"$184,715"
3014230007,"$276,869",$0,"$276,869",$0,0,"$30,200",$0,"$4,108","$311,177",$0,"$169,975"
1020020073,"$276,852",$0,"$276,852",$0,0,$0,$0,$0,"$276,852",$0,"$147,008"
2028790050,"$276,793",$0,"$276,793",$0,0,$0,$0,$0,"$276,793",$0,"$163,399"
3051540059,"$276,767",$0,"$276,767",$0,0,$0,$0,$0,"$276,767",$0,"$170,780"
3013040135,"$276,686",$0,"$276,686",$0,0,"$35,600",$0,"$12,961","$325,247",$0,"$230,586"
2026830049,"$276,650",$0,"$276,650",$0,0,$0,$0,$0,"$276,650",$0,"$142,088"
2031030043,"$276,585",$0,"$276,585",$0,0,$0,$0,$0,"$276,585",$0,"$138,641"
1021690001,"$276,554",$0,"$276,554",$0,0,$0,$0,$0,"$276,554",$0,"$145,758"
1009270021,"$276,398",$0,"$276,398",$0,0,$0,$0,$0,"$276,398",$0,"$115,771"
1015340013,"$276,022",$0,"$276,022",$0,0,$0,$0,$0,"$276,022","$2,570","$114,066"
1008830066,"$276,000",$0,"$276,000",$0,0,"$78,000",$0,$0,"$354,000","$87,900","$154,830"
1009070003,"$276,000",$0,"$276,000","$96,000",0,$0,$0,$0,"$372,000",$0,"$152,700"
1022430277,"$275,961",$0,"$275,961",$0,0,"$59,057",$0,$0,"$335,018",$0,"$307,051"
1021700550,"$275,891",$0,"$275,891",$0,0,$0,$0,$0,"$275,891","$3,218","$234,871"
1004520038,"$275,884",$0,"$275,884",$0,0,$0,$0,$0,"$275,884",$0,"$100,569"
1003530051,"$275,871",$0,"$275,871",$0,0,"$36,182",$0,$0,"$624,106",$0,"$262,651"
3046310038,"$275,810",$0,"$275,810",$0,0,"$38,150",$0,$0,"$313,960",$0,"$199,837"
4012840051,"$275,802",$0,"$275,802",$0,0,"$232,890",$0,$0,"$566,240","$2,550","$192,150"
2032280021,"$275,800",$0,"$275,800",$0,0,$0,$0,$0,"$275,800",$0,"$141,200"
1013410042,"$275,712",$0,"$275,712",$0,0,"$59,963",$0,$0,"$335,675",$0,"$184,544"
1015510039,"$275,689",$0,"$275,689",$0,0,$0,$0,$0,"$275,689","$6,299","$125,521"
2024730012,"$275,681",$0,"$275,681",$0,0,$0,$0,$0,"$275,681",$0,"$179,912"
3061310024,"$275,593",$0,"$275,593",$0,0,"$123,690",$0,$0,"$802,066",$0,"$251,918"
2028260076,"$275,570",$0,"$275,570",$0,0,$0,$0,"$25,716","$301,286",$0,"$244,249"
1018740022,"$275,456","$86,955","$362,411",$0,0,"$524,454",$0,$0,"$990,346","$22,788","$313,704"
1005250027,"$275,399",$0,"$275,399",$0,0,$0,$0,$0,"$276,070",$0,"$71,795"
3055770001,"$275,376",$0,"$275,376",$0,0,"$74,002",$0,$0,"$349,378",$0,"$107,279"
2033070058,"$275,311",$0,"$275,311",$0,0,$0,$0,$0,"$275,311",$0,"$130,236"
1003980061,"$275,176",$0,"$275,176",$0,0,"$81,505",$0,$0,"$356,681",$0,"$232,821"
4097930059,"$275,115",$0,"$275,115",$0,0,$0,$0,$0,"$275,115",$0,"$132,221"
1018450003,"$274,958",$0,"$274,958",$0,0,$0,$0,$0,"$282,281",$0,"$41,434"
3013260035,"$274,954",$0,"$274,954",$0,0,$0,$0,"$13,362","$288,316",$0,"$176,453"
3051620034,"$274,923",$0,"$274,923",$0,0,$0,$0,$0,"$274,923",$0,"$234,148"
2028770516,"$274,917",$0,"$274,917",$0,0,$0,$0,$0,"$274,917",$0,"$221,616"
3010850037,"$274,875",$0,"$274,875",$0,0,$0,$0,$0,"$274,875",$0,"$214,664"
2032490186,"$274,860",$0,"$274,860",$0,0,$0,$0,$0,"$274,860",$0,"$155,605"
3051230019,"$274,714",$0,"$274,714",$0,0,$0,$0,$0,"$274,714",$0,"$122,122"
2039200029,"$274,664",$0,"$274,664",$0,0,"$39,144",$0,$0,"$313,808",$0,"$222,349"
3051500021,"$274,655",$0,"$274,655",$0,0,$0,$0,$0,"$274,655",$0,"$251,443"
1021360120,"$274,635",$0,"$274,635",$0,0,$0,$0,"$50,976","$325,611",$0,"$240,785"
3014200061,"$274,594",$0,"$274,594",$0,0,$0,$0,$0,"$274,594",$0,"$170,500"
1012180015,"$274,464","$22,536","$297,000",$0,0,$0,$0,$0,"$297,000","$1,620","$84,263"
2032920051,"$274,460",$0,"$274,460",$0,0,$0,$0,"$20,015","$294,475",$0,"$171,970"
4116010001,"$274,295",$0,"$274,295",$0,0,$0,$0,$0,"$274,295",$0,"$103,772"
3056140014,"$274,256",$0,"$274,256",$0,0,$0,$0,$0,"$274,256",$0,"$160,091"
1005860057,"$274,238","$33,180","$307,418",$0,0,"$74,531",$0,$0,"$384,902",$0,"$130,351"
1014690037,"$274,150",$0,"$274,150",$0,0,$0,$0,$0,"$274,150","$5,724","$118,162"
1010760042,"$274,130",$0,"$274,130",$0,0,$0,$0,$0,"$274,130",$0,"$92,306"
2029290074,"$274,119",$0,"$274,119",$0,0,$0,$0,"$270,212","$628,447",$0,"$543,248"
1004540047,"$274,113","$290,000","$564,113",$0,0,"$93,682",$0,$0,"$657,795","$38,154","$187,063"
1007710072,"$274,080","$37,188","$311,268",$0,0,"$18,000",$0,$0,"$329,268","$1,308","$253,732"
1020330009,"$274,035",$0,"$274,035",$0,0,$0,$0,$0,"$274,035",$0,"$161,943"
2031490147,"$273,975",$0,"$273,975",$0,0,$0,$0,$0,"$273,975",$0,"$205,226"
2031510030,"$273,885",$0,"$273,885",$0,0,$0,$0,$0,"$273,885",$0,"$222,729"
1014730008,"$273,874",$0,"$273,874",$0,0,$0,$0,$0,"$273,874",$0,"$79,265"
2024570013,"$273,831",$0,"$273,831",$0,0,$0,$0,$0,"$273,831",$0,"$188,085"
1009080022,"$273,792",$0,"$273,792",$0,0,$0,$0,$0,"$273,792","$4,373","$119,169"
2031980110,"$273,569",$0,"$273,569",$0,0,$0,$0,$0,"$273,569",$0,"$124,756"
2033170051,"$273,534",$0,"$273,534",$0,0,$0,$0,$0,"$273,534",$0,"$128,638"
2025320020,"$273,497",$0,"$273,497",$0,0,$0,$0,$0,"$273,497",$0,"$165,111"
3045960043,"$273,480",$0,"$273,480",$0,0,"$38,120",$0,$0,"$311,600",$0,"$302,660"
1021420038,"$273,352",$0,"$273,352",$0,0,$0,$0,$0,"$273,352",$0,"$182,308"
2032130080,"$273,350",$0,"$273,350",$0,0,$0,$0,$0,"$273,350",$0,"$132,951"
1008820038,"$273,315",$0,"$273,315",$0,0,$0,$0,$0,"$273,865",$0,"$136,984"
1003930023,"$273,257","$209,613","$482,870","$34,625",0,$0,"$35,400",$0,"$552,895",$0,"$354,442"
3013040124,"$273,195",$0,"$273,195",$0,0,$0,$0,$0,"$273,195",$0,"$226,818"
1009080013,"$273,121",$0,"$273,121",$0,0,$0,$0,$0,"$273,121",$0,"$198,452"
1020710061,"$273,048",$0,"$273,048","$89,717",0,"$116,796",$0,$0,"$481,127",$0,"$424,578"
1009230039,"$273,000",$0,"$273,000",$0,0,$0,$0,$0,"$273,000","$87,225","$341,450"
1004540029,"$272,977","$16,800","$289,777",$0,0,$0,$0,$0,"$289,777",$0,"$76,197"
1015810040,"$272,743",$0,"$272,743",$0,0,$0,$0,$0,"$272,743",$0,"$135,267"
4014640043,"$272,697",$0,"$272,697",$0,0,"$138,856",$0,$0,"$411,553",$0,"$237,152"
1001790047,"$272,525",$0,"$272,525",$0,0,"$124,571",$0,$0,"$397,096",$0,"$110,172"
1015100024,"$272,406",$0,"$272,406",$0,0,$0,$0,$0,"$272,406","$5,450","$70,438"
1013470016,"$272,400",$0,"$272,400",$0,0,$0,$0,$0,"$272,400",$0,"$37,919"
1014360009,"$272,398",$0,"$272,398",$0,0,"$15,600",$0,$0,"$287,998","$2,290","$112,868"
4012610058,"$272,363",$0,"$272,363",$0,0,$0,$0,$0,"$272,363",$0,"$103,632"
3055970070,"$272,328",$0,"$272,328",$0,0,$0,$0,"$6,317","$278,645",$0,"$179,079"
