BBL ,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Gov't Rent Subsidies Income,Total Real Estate Income,Total Expenses
2047760065,,"$156,825",156825,,,,"$156,825","$37,100"
3010470056,"$93,200","$325,990","$419,190",,,,"$419,190","$176,825"
3024090003,,"$99,000",99000,,"$124,920",,"$223,920","$23,570"
3024320022,,"$33,600",33600,,,,"$33,600","$86,586"
3028750051,,"$28,800",28800,,"$89,413",,"$118,213","$48,895"
3051250072,"$282,804",,"$282,804",,"$286,712",,"$569,516","$95,110"
3052940043,,"$41,400",41400,,"$25,600",,"$67,000","$22,900"
3054050019,"$96,453","$453,800","$550,253",,,,"$585,893","$428,952"
3058400013,"$248,896",,"$248,896",,,,"$248,896","$76,002"
3060810042,"$23,432","$290,565","$313,997",,"$77,878",,"$391,875","$107,667"
3060810042,"$23,432","$290,565","$313,997",,"$77,878",,"$391,875","$107,667"
3060860082,,"$113,770",113770,,,,"$113,770","$47,651"
3062490003,,"$45,300",45300,,,,"$45,300","$12,111"
3062490004,,"$56,660",56660,,,,"$56,660","$17,963"
3063750049,"$115,200","$124,200","$239,400",,,,"$239,400","$77,383"
3073310054,,"$46,800",46800,,,,"$46,800","$30,154"
3073310054,,"$46,800",46800,,,,"$46,800","$30,154"
2031680016,"$673,180",,"$673,180",,,"$90,623","$785,580","$408,685"
3001820021,"$64,612",,"$64,612",,,,"$64,612","$79,477"
1016750029,"$229,527",,"$229,527",,"$90,000",,"$319,527","$135,564"
5000140108,"$57,939","$69,600","$127,539",,"$16,600",,"$169,093","$65,283"
4001840023,"$1,003,981",,"$1,003,981",,,,"$1,020,546","$332,989"
4001900016,"$573,059",,"$573,059",,,,"$573,059","$144,013"
4005920024,,"$36,000",36000,,,,"$73,972","$53,205"
4006610045,"$118,000",,"$118,000",,"$87,000",,"$205,000","$87,873"
4001610020,"$856,435",,"$856,435",,"$14,040",,"$918,475","$406,920"
4001620019,"$627,670",,"$627,670",,,,"$627,670","$360,414"
4001650001,"$551,688",,"$551,688",,"$305,297",,"$856,985","$415,908"
4005190036,"$130,492",,"$130,492",,,,"$130,492","$10,976"
4005700007,"$278,516",,"$278,516",,,,"$278,516","$37,897"
4005880066,"$309,500",,"$309,500",,,,"$309,500","$137,092"
4005920005,"$378,564",,"$378,564",,,,"$378,564","$277,376"
4006590059,"$32,750",,"$32,750",,,,"$32,750","$27,890"
4001700009,"$67,459",,"$67,459",,,,"$67,459","$72,752"
4020150026,,"$48,000",48000,,,,"$48,000","$9,846"
4032400041,,"$13,800",13800,,"$55,539",,"$69,339","$8,926"
4008340027,"$283,678","$42,600","$326,278",,,,"$326,278","$120,724"
4008990005,"$119,349",,"$119,349",,,,"$119,349","$50,826"
4012300045,"$1,635,446",,"$1,635,446",,,,"$1,635,446","$770,180"
4012910042,,"$42,175",42175,,"$87,840",,"$130,015","$17,440"
4013080031,"$315,414",,"$315,414",,,,"$315,414","$71,168"
4013210019,"$215,378",,"$215,378",,,,"$215,378","$43,860"
4014880040,,"$38,000",38000,,,,"$38,000","$8,989"
4014880041,,"$40,300",40300,,,,"$40,300","$10,242"
4099750007,"$9,410",,"$9,410",,"$200,935",,"$221,843","$42,967"
4013110029,"$59,040","$28,500","$87,540",,,,"$87,540","$62,887"
4013140003,"$1,381,123",,"$1,381,123","$31,358",,,"$1,436,481","$632,574"
4013340071,"$1,099,872",,"$1,099,872",,,,"$1,099,872","$583,195"
4014650036,,"$113,400",113400,,"$121,860",,"$235,260","$12,280"
4096690004,"$174,657",,"$174,657",,,,"$178,740","$77,089"
4096690012,"$736,581",,"$736,581",,,,"$769,681","$249,646"
4106090062,,"$18,600",18600,,"$20,000",,"$38,600","$15,800"
4018960015,,"$60,000",60000,,,,"$60,000","$14,203"
4020060092,,"$9,800",9800,,"$55,000",,"$64,800","$7,745"
4020090024,,"$86,400",86400,,,,"$86,400","$33,789"
4020110036,"$283,050",,"$283,050",,,,"$283,050","$68,254"
4036520017,"$359,640",,"$359,640",,,,"$379,440","$85,048"
4038700121,,"$31,200",31200,,,,"$31,200","$15,901"
4050240071,"$252,698",,"$252,698",,,,"$252,698","$152,704"
4050240073,"$224,317",,"$224,317",,,,"$224,317","$157,277"
4050240075,"$244,877",,"$244,877",,,,"$244,877","$162,611"
4062880041,,"$43,192",43192,,"$86,520",,"$129,712","$28,014"
4073140031,,"$36,000",36000,,"$42,000",,"$78,000","$18,700"
4114580001,"$11,400","$294,540","$305,940",,,,"$305,940","$161,205"
4114580001,"$11,400","$294,540","$305,940",,,,"$305,940","$161,205"
4114580001,"$11,400","$294,540","$305,940",,,,"$305,940","$161,205"
4114580001,"$11,400","$294,540","$305,940",,,,"$305,940","$161,205"
4114580001,"$11,400","$294,540","$305,940",,,,"$305,940","$161,205"
4114580001,"$11,400","$294,540","$305,940",,,,"$305,940","$161,205"
4114580001,"$11,400","$294,540","$305,940",,,,"$305,940","$161,205"
3003120034,,"$26,886",26886,,"$167,407",,"$194,293","$33,388"
3009370051,,"$154,200",154200,,,,"$154,200","$21,219"
3009450039,,"$101,200",101200,,,,"$182,800","$47,694"
3011300003,,"$109,800",109800,,,,"$109,800","$41,016"
3033280043,"$166,741",,"$166,741",,,,"$166,741","$53,655"
3044710109,"$317,958",,"$317,958",,,"$66,706","$389,024","$247,016"
3052490006,,"$18,000",18000,"$22,800",,,"$40,800","$31,312"
3054160069,"$390,585",,"$390,585",,,,"$390,585","$273,506"
3070980048,,"$76,400",76400,"$102,850",,,"$179,250","$18,402"
1010650037,"$59,045","$392,960","$452,005",,,,"$452,005","$241,469"
1010650044,"$359,204","$602,560","$961,764",,,,"$962,947","$456,233"
1010660057,"$158,713","$1,068,180","$1,226,893",,"$30,000",,"$1,256,893","$425,164"
1011650056,"$323,079","$860,020","$1,183,099",,,"$3,205","$1,205,504","$685,710"
1014350029,"$37,664","$294,900","$332,564",,"$72,840",,"$405,404","$197,361"
1003740043,"$867,224",,"$867,224",,,,"$869,881","$433,988"
1005730008,"$152,525","$250,213","$402,738",,,,"$402,738","$121,270"
1005730009,"$123,098","$336,965","$460,063",,,,"$460,063","$154,553"
1015340025,"$69,412","$239,472","$308,884",,"$207,466",,"$516,350","$165,034"
1015350014,"$36,653","$390,864","$427,517",,,,"$427,517","$160,646"
1015470001,"$1,208","$492,777","$493,985",,"$271,400",,"$765,385","$219,208"
1015470004,"$50,652","$260,262","$310,914",,"$74,000",,"$384,914","$110,025"
1015480035,,"$531,851",531851,,"$250,275",,"$782,126","$135,364"
1015820004,"$76,440","$296,014","$372,454",,"$98,680",,"$471,134","$163,018"
4014930033,,"$54,000",54000,,"$335,896",,"$389,896","$83,863"
2033280135,"$380,126",,"$380,126",,"$18,600",,"$398,726","$281,358"
3067770012,"$245,528",,"$245,528",,,,"$245,528","$157,562"
3004700013,"$439,285",,"$439,285",,,,"$439,285","$114,420"
4000440023,"$255,118",,"$255,118",,"$57,250",,"$312,368","$203,347"
4006380019,"$698,014",,"$698,014",,"$34,400",,"$732,414","$342,110"
4015180047,"$263,418",,"$263,418",,,,"$272,418","$137,095"
4015550033,"$431,928",,"$431,928",,,,"$440,928","$194,094"
1003490027,"$7,453","$262,706","$270,159",,"$50,931",,,"$172,299"
1003500034,,"$194,107",194107,,,"$239,656","$433,763","$119,375"
1003930025,,"$1,101,543",1101543,,,,"$1,101,543","$881,532"
1004010017,"$1,155","$881,413","$882,568",,"$68,540",,"$956,264","$407,392"
1004010056,"$15,874","$188,881","$204,755",,"$43,050",,"$258,530","$185,631"
1004120029,"$5,840","$466,085","$471,925",,"$59,370",,"$536,167","$191,860"
1005630033,,"$25,000",25000,,"$28,000",,"$53,000","$20,315"
1007650063,"$52,720","$283,950","$336,670",,,,"$336,670","$209,223"
1010640013,,"$557,533",557533,,,,"$557,533","$303,082"
1012530016,"$86,221","$830,414","$916,635",,,,"$916,635","$363,775"
1014350007,"$49,608","$32,400","$82,008",,,,"$82,008","$152,326"
1015490024,"$47,133","$776,646","$823,779",,"$923,172",,"$1,841,687","$302,316"
1018360026,"$13,428","$251,262","$264,690",,"$77,100",,"$341,790","$217,550"
1019260006,"$9,168","$324,045","$333,213",,,,"$333,213","$167,061"
1020910032,"$514,577","$74,280","$588,857",,"$380,508",,"$969,365","$335,632"
1002830006,"$55,029","$83,800","$138,829",,,,"$138,829","$96,761"
1002830007,"$149,740","$200,856","$350,596",,,,"$350,596","$105,092"
1002860024,"$62,722","$130,074","$192,796",,,,"$192,796","$104,447"
1002860025,"$95,832","$82,335","$178,167",,,,"$178,167","$145,386"
1003100023,"$116,080","$146,226","$262,306",,,,"$262,306","$198,129"
1003440063,"$186,396","$88,035","$274,431",,,,"$274,431","$223,996"
1003440064,"$153,636","$120,442","$274,078",,,,"$274,078","$248,158"
1003500035,,"$162,288",162288,,,"$177,422","$339,710","$74,779"
1003500080,"$157,754","$161,348","$319,102",,"$41,951",,"$361,053","$197,883"
1004780013,,"$582,094",582094,,"$65,000",,"$647,094","$230,219"
