BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1,Total Expenses
1002850007,"$211,910.00",$0.00,"$211,910.00",$0.00,"$11,400.00",$0.00,"$223,310.00",$0.00,"$170,874.00"
1022250023,"$211,880.00",$0.00,"$211,880.00",$0.00,$0.00,$0.00,"$211,880.00",$0.00,"$115,720.00"
1016020050,"$211,810.00","$480,634.00","$692,444.00",$0.00,"$386,939.00",$0.00,"$1,088,841.00",$0.00,"$334,147.00"
2031420058,"$211,800.00",$0.00,"$211,800.00",$0.00,"$24,800.00",$0.00,"$236,600.00",$0.00,"$259,152.00"
2027630160,"$211,785.00",$0.00,"$211,785.00",$0.00,$0.00,$0.00,"$211,785.00",$0.00,"$123,237.00"
1010320101,"$211,753.00",$0.00,"$211,753.00",$0.00,"$129,010.00",$0.00,"$340,763.00",$350.00,"$182,333.00"
4053100021,"$211,690.00",$0.00,"$211,690.00",$0.00,$0.00,$0.00,"$211,690.00",$0.00,"$153,606.00"
4053100026,"$211,690.00",$0.00,"$211,690.00",$0.00,$0.00,$0.00,"$211,690.00",$0.00,"$153,606.00"
1005030009,"$211,632.00","$325,005.00","$536,637.00",$0.00,$0.00,$0.00,"$539,337.00","$42,507.00","$167,932.00"
2024210011,"$211,625.00",$0.00,"$211,625.00","$18,900.00",$0.00,$0.00,"$230,525.00",$0.00,"$145,236.00"
1005500013,"$211,616.00",$0.00,"$211,616.00",$0.00,$0.00,$0.00,"$1,208,331.00",$0.00,"$1,625,685.00"
4092350023,"$211,579.00",$0.00,"$211,579.00",$0.00,$0.00,$0.00,"$211,579.00","$32,322.00","$131,679.00"
4007290076,"$211,530.00",$0.00,"$211,530.00",$0.00,$0.00,$0.00,"$211,530.00",$0.00,"$121,844.00"
4062630004,"$211,513.00",$0.00,"$211,513.00",$0.00,$0.00,$0.00,"$211,513.00",$0.00,"$77,493.00"
1018270026,"$211,445.00",$0.00,"$211,445.00",$0.00,$0.00,$0.00,"$211,445.00","$15,600.00","$140,664.00"
2033490016,"$211,405.00",$0.00,"$211,405.00",$0.00,$0.00,$0.00,"$211,405.00",$0.00,"$155,066.00"
3051500018,"$211,056.00",$0.00,"$211,056.00",$0.00,$0.00,$0.00,"$211,056.00",$0.00,"$122,475.00"
4005790074,"$210,996.00",$0.00,"$210,996.00",$0.00,$0.00,$0.00,"$210,996.00",$0.00,"$84,246.00"
3046370028,"$210,986.00",$0.00,"$210,986.00",$0.00,"$58,452.00",$0.00,"$269,438.00",$0.00,"$183,180.00"
2033530034,"$210,979.00",$0.00,"$210,979.00",$0.00,$0.00,$0.00,"$210,979.00",$0.00,"$280,621.00"
2031140033,"$210,901.00",$0.00,"$210,901.00",$0.00,$0.00,$0.00,"$210,901.00",$0.00,"$90,736.00"
1011640050,"$210,882.00",$0.00,"$210,882.00",$0.00,$0.00,$0.00,"$210,882.00","$1,525.00","$49,127.00"
4088870001,"$210,814.00",$0.00,"$210,814.00",$0.00,$0.00,$0.00,"$210,814.00",$0.00,"$47,320.00"
1007940030,"$210,771.00",$0.00,"$210,771.00","$3,437,889.00","$4,468,650.00",$0.00,"$8,922,704.00","$454,894.00","$1,530,176.00"
3046790001,"$210,651.00",$0.00,"$210,651.00",$0.00,$0.00,$0.00,"$210,651.00",$0.00,"$121,627.00"
1010760030,"$210,506.00",$0.00,"$210,506.00",$0.00,"$40,367.00",$0.00,"$250,873.00",$0.00,"$102,940.00"
1013400040,"$210,428.00",$0.00,"$210,428.00",$0.00,$0.00,$0.00,"$210,986.00",$0.00,"$58,868.00"
1006110027,"$210,376.00","$588,386.00","$798,762.00",$0.00,$0.00,"$6,136.00","$817,898.00",$0.00,"$115,967.00"
1005280078,"$210,160.00","$498,378.00","$708,538.00",$0.00,"$110,733.00",$0.00,"$819,271.00","$12,596.00","$325,123.00"
2022650027,"$210,156.00",$0.00,"$210,156.00",$0.00,"$43,995.00","$17,888.00","$281,899.00",$0.00,"$156,284.00"
1021280051,"$210,146.00",$0.00,"$210,146.00",$0.00,"$54,000.00",$0.00,"$264,146.00",$0.00,"$209,830.00"
2031050032,"$210,060.00",$0.00,"$210,060.00",$0.00,$0.00,$0.00,"$210,060.00","$2,361.00","$136,248.00"
1012160002,"$210,052.00",$0.00,"$210,052.00",$0.00,"$104,561.00",$0.00,"$316,974.00","$9,728.00","$59,161.00"
1002180024,"$209,988.00","$48,000.00","$257,988.00",$0.00,"$91,236.00",$0.00,"$473,659.00",$0.00,"$467,274.00"
1010560010,"$209,685.00",$0.00,"$209,685.00",$0.00,"$89,112.00",$0.00,"$298,797.00",$0.00,"$231,693.00"
1022260001,"$209,581.00",$0.00,"$209,581.00",$0.00,$0.00,$0.00,"$211,176.00",$0.00,"$167,184.00"
4005810053,"$209,514.00",$0.00,"$209,514.00",$0.00,$0.00,$0.00,"$209,514.00",$0.00,"$66,654.00"
1010100051,"$209,484.00","$1,027,399.00","$1,236,883.00",$0.00,$0.00,$0.00,"$1,243,678.00","$64,225.00","$955,870.00"
1014690038,"$209,396.00","$13,252.00","$222,648.00",$0.00,"$80,502.00",$0.00,"$303,309.00",$0.00,"$125,354.00"
1003100023,"$209,257.00",$0.00,"$209,257.00",$0.00,$0.00,$0.00,"$209,257.00",$0.00,"$97,628.00"
1011460022,"$209,084.00","$65,600.00","$274,684.00",$0.00,$0.00,$0.00,"$275,215.00",$0.00,"$96,882.00"
1013780021,"$209,052.00",$0.00,"$209,052.00",$0.00,"$1,257,634.00",$0.00,"$1,744,586.00","$34,602.00","$221,295.00"
1003920007,"$209,000.00","$100,100.00","$309,100.00",$0.00,"$120,000.00",$0.00,"$429,100.00",$0.00,"$207,933.00"
3012400017,"$208,910.00",$0.00,"$208,910.00",$0.00,$0.00,$0.00,"$208,910.00",$0.00,"$115,404.00"
1014570046,"$208,574.00",$0.00,"$208,574.00",$0.00,"$93,200.00",$0.00,"$301,774.00",$0.00,"$134,590.00"
1015620023,"$208,344.00",$0.00,"$208,344.00",$0.00,$0.00,$0.00,"$208,344.00","$3,685.00","$45,764.00"
2028680123,"$208,292.00",$0.00,"$208,292.00",$0.00,$0.00,$0.00,"$208,292.00",$0.00,"$119,069.00"
1012440035,"$208,084.00",$0.00,"$208,084.00",$0.00,$0.00,$0.00,"$208,084.00",$0.00,"$79,166.00"
1022400006,"$208,057.00","$330,795.00","$538,852.00",$0.00,$0.00,$0.00,"$548,788.00","$131,557.00","$301,369.00"
1005170030,"$208,034.00","$105,595.00","$313,629.00",$0.00,"$46,200.00",$0.00,"$363,829.00",$0.00,"$107,631.00"
3051220035,"$207,978.00",$0.00,"$207,978.00",$0.00,$0.00,$0.00,"$207,978.00",$0.00,"$114,797.00"
