BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1,Total Expenses
4027960006,"$10,800",$0,"$10,800",$0,$0,$0,$0,"$58,800",$0,"$11,274"
1020540036,"$10,704","$285,452","$296,156",$0,$0,$0,$0,"$296,156",$0,"$220,096"
1008640050,"$10,440","$16,913","$27,353",$0,$0,$0,$0,"$44,019",$0,"$58,448"
4006850003,"$10,440","$102,000","$112,440",$0,$0,$0,$0,"$112,440",$0,"$70,559"
1011640064,"$10,392",$0,"$10,392",$0,$0,$0,$0,"$10,392",$0,"$108,262"
1021660044,"$10,392","$325,822","$336,214",$0,"$277,495",$0,$0,"$651,242",$957,"$417,928"
1011500021,"$10,358","$106,800","$117,158",$0,$0,$0,$0,"$117,158","$1,435","$71,224"
1018670054,"$10,266","$527,243","$537,509",$0,$0,$0,$0,"$542,333",$0,"$232,238"
3058920001,"$10,260","$258,230","$268,490",$0,$0,$0,$0,"$269,090",$0,"$166,524"
3002670028,"$10,190",$0,"$10,190",$0,$0,"$77,179",$0,"$87,404",$0,"$55,493"
1013780062,"$10,177","$158,000","$168,177",$0,$0,$0,$0,"$168,177",$0,"$116,160"
1018670046,"$10,172","$533,410","$543,582",$0,$0,$0,$0,"$547,853",$0,"$279,622"
1008920008,"$10,154","$135,470","$145,624",$0,$0,$0,$0,"$145,624",$0,"$24,834"
1018840040,"$10,148","$294,722","$304,870",$0,$0,$0,$0,"$308,439",$0,"$226,370"
1014350033,"$10,117","$101,260","$111,377","$30,000",$0,$0,$0,"$141,377","$6,000","$118,152"
1018830042,"$10,090","$427,907","$437,997",$0,$0,$0,$0,"$441,756",$0,"$204,558"
1001460010,"$10,068","$58,000","$68,068",$0,"$47,500",$0,$0,"$115,568",$0,"$100,330"
4006560058,"$10,000",$0,"$10,000",$0,"$40,000",$0,$0,"$50,000",$0,"$16,886"
1004250003,"$9,913","$122,399","$132,312",$0,"$52,360",$0,$0,"$184,672",$0,"$38,118"
1005940114,"$9,900",$0,"$9,900",$0,"$18,724",$0,$0,"$105,343",$0,"$29,745"
1006100066,"$9,900","$92,650","$102,550",$0,"$105,821",$0,$0,"$208,371",$0,"$121,452"
4006580049,"$9,900",$0,"$9,900","$14,400","$98,500",$0,$0,"$122,800",$0,"$37,694"
4045050029,"$9,900",$0,"$9,900",$0,"$48,000",$0,$0,"$57,900",$0,"$46,807"
4032550033,"$9,858","$207,493","$217,351","$82,795","$219,500",$0,$0,"$529,891",$0,"$249,326"
1005000011,"$9,840",$0,"$9,840","$1,853,611","$1,244,264",$0,$0,"$3,107,715","$33,960","$373,711"
3062160007,"$9,840",$0,"$9,840",$0,"$16,800",$0,$0,"$26,640",$810,"$14,510"
3062160008,"$9,840",$0,"$9,840",$0,"$16,200",$0,$0,"$26,040",$0,"$14,170"
5000150001,"$9,777","$452,216","$461,993",$0,$0,$0,$0,"$465,449",$0,"$242,084"
1018670049,"$9,771","$574,119","$583,890",$0,$0,$0,$0,"$588,987",$0,"$266,613"
4035110047,"$9,652","$11,400","$21,052",$0,$0,"$8,400",$0,"$29,452",$560,"$12,123"
3012540037,"$9,600","$36,000","$45,600",$0,$0,$0,$0,"$45,600",$0,"$30,700"
3033000008,"$9,600",$0,"$9,600","$10,200","$25,655",$0,$0,"$45,455",$0,"$22,512"
3062160006,"$9,600",$0,"$9,600",$0,"$16,200",$0,$0,"$25,800",$0,"$14,650"
4032550028,"$9,540","$445,098","$454,638","$77,135","$204,263",$0,$0,"$752,422",$0,"$329,095"
1009120026,"$9,494","$167,230","$176,724",$0,$0,$0,$0,"$199,224",$0,"$45,208"
1000110010,"$9,468",$0,"$9,468",$0,"$77,000",$0,$0,"$89,664",$0,"$183,982"
1013270017,"$9,348","$161,631","$170,979",$0,"$77,871",$0,$0,"$248,850","$1,873","$127,125"
3074110050,"$9,300",$0,"$9,300","$11,700","$8,100","$15,000",$0,"$44,100",$0,"$19,019"
1005680017,"$9,256","$107,970","$117,226",$0,$0,$0,$0,"$117,226",$0,"$11,071"
