BBL ,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Total Expenses
4019180095,"$2,950,406",$0,"$2,950,406",$0,$0,$0,"$21,522","$3,141,247","$2,020,841"
4019180080,"$2,948,932",$0,"$2,948,932",$0,"$201,600",$0,"$22,299","$3,295,258","$2,165,351"
1015410021,"$2,946,360","$27,139,850","$30,086,210",$0,"$1,613,480",$0,$0,"$33,252,390","$12,722,149"
1011280001,"$2,946,147",$0,"$2,946,147",$0,"$1,453,591",$0,$0,"$4,471,790","$1,934,943"
3070500001,"$2,945,179",$0,"$2,945,179","$58,500",$0,$0,"$2,457,399","$5,596,828","$3,995,455"
2038950001,"$2,940,147",$0,"$2,940,147",$0,$0,$0,$0,"$3,242,613","$2,300,244"
4019180108,"$2,936,755",$0,"$2,936,755",$0,$0,$0,"$29,459","$3,115,360","$2,115,255"
3000560003,"$2,929,378",$0,"$2,929,378",$0,$0,$0,$0,"$3,021,213","$953,952"
4019180072,"$2,919,225",$0,"$2,919,225",$0,$0,$0,"$15,040","$3,060,246","$1,945,938"
4019180070,"$2,917,838",$0,"$2,917,838",$0,$0,$0,"$4,766","$3,063,712","$1,957,327"
4019180105,"$2,909,148",$0,"$2,909,148",$0,$0,$0,"$9,693","$3,055,251","$2,065,762"
4019180055,"$2,903,594",$0,"$2,903,594",$0,"$118,266",$0,"$15,348","$3,140,736","$1,788,039"
4019180050,"$2,896,469",$0,"$2,896,469",$0,"$446,612",$0,"$25,411","$3,530,814","$2,133,274"
4022860011,"$2,890,018",$0,"$2,890,018",$0,$0,$0,"$31,767","$2,921,785","$1,625,134"
1008650024,"$2,887,852",$0,"$2,887,852","$880,064",$0,$0,$0,"$3,873,949","$1,653,676"
4021020001,"$2,877,672",$0,"$2,877,672","$50,358",$0,$0,"$1,435,924","$4,383,344","$2,082,677"
4019180052,"$2,863,808",$0,"$2,863,808",$0,$0,$0,"$17,961","$3,072,190","$2,039,013"
1014970009,"$2,862,129","$7,729,371","$10,591,500","$642,793","$2,573,244",$0,$0,"$14,722,997","$4,210,519"
2031240001,"$2,850,503",$0,"$2,850,503",$0,$0,$0,$0,"$2,850,503","$1,327,305"
4019180067,"$2,843,889",$0,"$2,843,889",$0,$0,$0,"$26,119","$2,962,156","$1,987,906"
4019180045,"$2,841,202",$0,"$2,841,202",$0,"$382,097",$0,"$14,651","$3,344,478","$2,068,930"
1012410001,"$2,837,267",$0,"$2,837,267","$251,717",$0,$0,$0,"$3,095,093","$775,904"
1010670012,"$2,836,140","$2,372,487","$5,208,627",$0,$0,$0,"$23,228","$5,522,531","$2,365,656"
1012520057,"$2,818,472",$0,"$2,818,472","$67,881",$0,$0,$0,"$2,918,787","$1,243,088"
4019180097,"$2,813,371",$0,"$2,813,371",$0,"$40,392",$0,"$17,637","$3,062,439","$2,052,837"
1007170077,"$2,812,197",$0,"$2,812,197",$0,"$299,531",$0,$0,"$3,192,929","$717,021"
4019180062,"$2,797,987",$0,"$2,797,987",$0,$0,$0,"$7,403","$2,904,762","$2,187,840"
4031560133,"$2,774,648",$0,"$2,774,648",$0,"$16,668",$0,"$18,952","$2,919,675","$1,608,898"
1014210005,"$2,769,310","$1,859,963","$4,629,273",$0,"$380,704",$0,$0,"$5,063,389","$2,058,621"
1017300025,"$2,759,630","$761,484","$3,521,114","$58,153",$0,$0,$0,"$3,920,690","$2,344,871"
1017300009,"$2,756,918","$820,689","$3,577,607","$64,355",$0,$0,$0,"$3,919,336","$2,397,826"
4019180065,"$2,754,440",$0,"$2,754,440",$0,"$54,601",$0,"$18,480","$2,954,600","$2,064,281"
1012160060,"$2,746,480",$0,"$2,746,480",$0,$0,$0,$0,"$2,757,050","$1,011,146"
1012340019,"$2,740,539","$14,251,457","$16,991,996",$0,"$4,927,740",$0,$0,"$23,573,435","$7,005,712"
