BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1, Total Expenses 
1015560012,"$71,519","$115,154","$186,673",$0,$0,"$18,000",$367,"$205,040",$0," $ 69,583 "
1004100007,"$71,361",$0,"$71,361","$34,480",$0,$0,$0,"$105,841",$0," $ 87,434 "
1005890037,"$71,329","$30,325","$101,654","$176,162",$0,$0,$0,"$278,816",$0," $ 43,292 "
1012160038,"$71,327",$0,"$71,327",$0,$0,$0,$0,"$71,327",$0," $ 60,362 "
1007330046,"$71,230",$0,"$71,230",$0,$0,$0,$0,"$71,230",$0," $ 46,208 "
1011850067,"$71,225","$118,973","$190,198",$0,$0,$0,"$3,386","$193,584",$0," $ 40,318 "
1007380026,"$71,174","$349,039","$420,213",$0,$0,$0,$0,"$420,213","$5,874"," $ 204,989 "
1015610008,"$71,069","$116,533","$187,602",$0,$0,$0,$0,"$187,602",$0," $ 108,283 "
1005300038,"$70,990","$157,200","$228,190",$0,$0,$0,$0,"$228,190",$0," $ 164,057 "
4096940001,"$70,973",$0,"$70,973",$0,$0,$0,$0,"$70,973",$0," $ 51,073 "
4096940063,"$70,973",$0,"$70,973",$0,$0,$0,$0,"$70,973",$0," $ 51,073 "
4096940064,"$70,973",$0,"$70,973",$0,$0,$0,$0,"$70,973",$0," $ 51,073 "
4096940065,"$70,973",$0,"$70,973",$0,$0,$0,$0,"$70,973",$0," $ 51,073 "
1008860039,"$70,890","$138,464","$209,354",$0,$0,$0,$0,"$209,354","$4,650"," $ 80,469 "
3010400064,"$70,887",$0,"$70,887",$0,$0,$0,$0,"$70,887",$0," $ 61,848 "
4098050047,"$70,842",$0,"$70,842",$0,$0,$0,$0,"$70,842",$0," $ 62,141 "
1013980053,"$70,795",$0,"$70,795",$0,"$255,129",$0,$0,"$418,764",$0," $ 229,929 "
3050370001,"$70,753",$0,"$70,753",$0,"$94,485",$0,$0,"$171,801",$0," $ 69,540 "
1010370052,"$70,692","$213,773","$284,465",$0,$0,$0,$0,"$284,465",$0," $ 75,365 "
1015480025,"$70,690","$5,400","$76,090",$0,$0,$0,$0,"$76,090",$0," $ 90,502 "
1004020001,"$70,668","$55,227","$125,895",$0,"$78,000",$0,$0,"$203,895",$0," $ 233,401 "
1010190054,"$70,574",$0,"$70,574",$0,"$154,000",$0,$0,"$243,399",$0," $ 76,133 "
3020740024,"$70,571",$0,"$70,571",$0,"$54,770",$0,$0,"$125,891",$350," $ 59,994 "
1002140026,"$70,516",$0,"$70,516",$0,"$52,653",$0,$0,"$123,169",$0," $ 63,605 "
4001700015,"$70,476",$0,"$70,476",$0,$0,$0,$0,"$70,476",$0," $ 56,575 "
2031280029,"$70,475",$0,"$70,475",$0,$0,$0,"$255,748","$328,010",$0," $ 241,160 "
3000300007,"$70,249",$0,"$70,249",$0,$0,$0,$0,"$169,974",$0," $ 106,054 "
4028940001,"$70,220",$0,"$70,220",$0,$0,$0,$0,"$70,220",$0," $ 21,449 "
3033540007,"$70,080",$0,"$70,080",$0,$0,$0,$0,"$70,080",$0," $ 33,119 "
1006200037,"$70,079","$168,284","$238,363",$0,$0,$0,$0,"$238,363",$0," $ 190,995 "
4050150162,"$70,000",$0,"$70,000",$0,$0,$0,$0,"$70,000",$0," $ 23,045 "
1001630026,"$69,936",$0,"$69,936",$0,"$31,987",$0,$0,"$101,923",$0," $ 104,034 "
1011950063,"$69,860","$265,690","$335,550",$0,$0,$0,$0,"$335,550","$62,563"," $ 155,660 "
1014440050,"$69,816","$191,815","$261,631",$0,"$139,403",$0,$0,"$425,290",$0," $ 97,335 "
1010630012,"$69,792","$156,324","$226,116",$0,"$78,000",$0,$0,"$305,493","$6,800"," $ 171,201 "
1013780025,"$69,770","$188,145","$257,915",$0,$0,$0,$0,"$257,915",$0," $ 111,117 "
1005500030,"$69,753",$0,"$69,753",$0,$0,"$115,598",$0,"$188,599",$0," $ 104,088 "
1011680107,"$69,744","$141,874","$211,618",$0,$0,$0,$0,"$211,618","$5,600"," $ 89,964 "
1018950052,"$69,671","$484,619","$554,290",$0,$0,"$38,254",$0,"$592,544",$0," $ 377,393 "
1014730022,"$69,613","$73,087","$142,700",$0,"$113,245",$0,$0,"$257,181",$0," $ 210,373 "
1005270090,"$69,571","$152,216","$221,787",$0,$0,$0,$0,"$221,787",$0," $ 122,708 "
3014840010,"$69,554",$0,"$69,554",$0,"$11,700",$0,$0,"$81,254",$0," $ 61,313 "
3009360008,"$69,545","$233,000","$302,545",$0,"$183,675",$0,$0,"$486,220",$0," $ 222,487 "
1010550040,"$69,520","$123,290","$192,810",$0,$0,$0,$0,"$192,810",$0," $ 56,080 "
